qv,q2,ex,nu,RTTOT,RLTOT,RTQE,RLQE,RTIE,RLIE,RTE,RLE,RTNS,RLNS
2.213,4.89737,-0.21896,0.0001,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0
2.213,4.89737,-0.21886,0.0002,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0
2.213,4.89737,-0.21876,0.0003,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0
2.213,4.89737,-0.21866,0.0004,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0
2.213,4.89737,-0.21856,0.0005,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0
2.213,4.89737,-0.21846,0.0006,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0
2.213,4.89737,-0.21836,0.0007,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0
2.213,4.89737,-0.21826,0.0008,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0
2.213,4.89737,-0.21816,0.0009,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0
2.213,4.89737,-0.21806,0.001,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0
2.213,4.89737,-0.21796,0.0011,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0
2.213,4.89737,-0.21786,0.0012,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0
2.213,4.89737,-0.21776,0.0013,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0
2.213,4.89737,-0.21766,0.0014,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0
2.213,4.89737,-0.21756,0.0015,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0
2.213,4.89737,-0.21746,0.0016,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0
2.213,4.89737,-0.21736,0.0017,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0
2.213,4.89737,-0.21726,0.0018,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0
2.213,4.89737,-0.21716,0.0019,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0
2.213,4.89737,-0.21706,0.002,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0
2.213,4.89736,-0.21696,0.0021,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0
2.213,4.89736,-0.21686,0.0022,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0
2.213,4.89736,-0.21676,0.0023,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0
2.213,4.89736,-0.21666,0.0024,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0
2.213,4.89736,-0.21656,0.0025,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0
2.213,4.89736,-0.21646,0.0026,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0
2.213,4.89736,-0.21636,0.0027,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0
2.213,4.89736,-0.21626,0.0028,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0
2.213,4.89736,-0.21616,0.0029,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0
2.213,4.89736,-0.21606,0.003,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0
2.213,4.89736,-0.21596,0.0031,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0
2.213,4.89736,-0.21586,0.0032,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0
2.213,4.89736,-0.21576,0.0033,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0
2.213,4.89736,-0.21566,0.0034,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0
2.213,4.89736,-0.21556,0.0035,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0
2.213,4.89736,-0.21546,0.0036,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0
2.213,4.89736,-0.21536,0.0037,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0
2.213,4.89735,-0.21526,0.0038,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0
