qv,q2,ex,nu,RTTOT,RLTOT,RTQE,RLQE,RTIE,RLIE,RTE,RLE,RTNS,RLNS
0.24,0.05759,0.001,0.00358,1.72e-11,0.00494,0.0,0.0,0.0,0.0,0.0,0.0,1.72e-11,0.00494
0.24,0.05758,0.002,0.00458,1.16e-10,0.00807,0.0,0.0,0.0,0.0,0.0,0.0,1.16e-10,0.00807
0.24,0.05757,0.003,0.00558,8.56e-10,0.0113,0.0,0.0,0.0,0.0,0.0,0.0,8.56e-10,0.0113
0.24,0.05756,0.004,0.00658,5.99e-09,0.0137,0.0,0.0,0.0,0.0,0.0,0.0,5.99e-09,0.0137
0.24,0.05754,0.005,0.00758,3.74e-08,0.0146,0.0,0.0,0.0,0.0,0.0,0.0,3.74e-08,0.0146
0.24,0.05753,0.006,0.00858,2.03e-07,0.014,0.0,0.0,0.0,0.0,0.0,0.0,2.03e-07,0.014
0.24,0.05751,0.007,0.00958,9.48e-07,0.0126,0.0,0.0,0.0,0.0,0.0,0.0,9.48e-07,0.0126
0.24,0.05749,0.00801,0.01058,3.81e-06,0.0111,0.0,0.0,0.0,0.0,0.0,0.0,3.81e-06,0.0111
0.24,0.05747,0.00901,0.01158,1.31e-05,0.00976,0.0,0.0,0.0,0.0,0.0,0.0,1.31e-05,0.00976
0.24,0.05744,0.01001,0.01258,3.88e-05,0.00842,0.0,0.0,0.0,0.0,0.0,0.0,3.88e-05,0.00842
0.24,0.05742,0.01101,0.01358,9.86e-05,0.00699,0.0,0.0,0.0,0.0,0.0,0.0,9.86e-05,0.00699
0.24,0.05739,0.01201,0.01458,0.0013,0.0335,0.0,0.0,0.0,0.0,0.0,0.0,0.0013,0.0335
0.24,0.05736,0.01301,0.01558,0.00247,0.0267,0.0,0.0,0.0,0.0,0.0,0.0,0.00247,0.0267
0.24,0.05733,0.01401,0.01658,0.00412,0.0223,0.0,0.0,0.0,0.0,0.0,0.0,0.00412,0.0223
0.24,0.05729,0.01501,0.01758,0.0061,0.0201,0.0,0.0,0.0,0.0,0.0,0.0,0.0061,0.0201
0.24,0.05725,0.01602,0.01858,0.00812,0.0192,0.0,0.0,0.0,0.0,0.0,0.0,0.00812,0.0192
0.24,0.05722,0.01702,0.01958,0.0101,0.0191,0.000138,0.00034,0.0,0.0,0.000128,0.0,0.00984,0.0187
0.24,0.05718,0.01802,0.02058,0.0115,0.0192,0.000342,0.000844,0.0,0.0,0.000261,0.0,0.0109,0.0184
0.24,0.05713,0.01902,0.02158,0.0122,0.0198,0.000609,0.0015,0.0,0.0,0.000396,0.0,0.0112,0.0183
0.24,0.05709,0.02002,0.02258,0.0119,0.0209,0.000968,0.00239,0.0,0.0,0.000541,0.0,0.0104,0.0185
0.24,0.05704,0.02102,0.02358,0.0111,0.0226,0.00145,0.0036,0.0,0.0,0.000701,0.0,0.0089,0.019
0.24,0.057,0.02203,0.02458,0.00998,0.0248,0.0021,0.00522,0.0,0.0,0.000874,0.0,0.007,0.0196
0.24,0.05695,0.02303,0.02558,0.0092,0.0273,0.00297,0.00737,0.0,0.0,0.00106,0.0,0.00517,0.0199
0.24,0.05689,0.02403,0.02658,0.00907,0.03,0.0041,0.0102,0.0,0.0,0.00126,0.0,0.00371,0.0198
0.24,0.05684,0.02503,0.02758,0.00968,0.033,0.00554,0.0138,0.0,0.0,0.00146,0.0,0.00268,0.0192
0.24,0.05678,0.02604,0.02858,0.0105,0.0355,0.00698,0.0174,0.0,0.0,0.00159,0.0,0.00196,0.0181
0.24,0.05673,0.02704,0.02958,0.0118,0.0385,0.00868,0.0217,0.0,0.0,0.00172,0.0,0.00144,0.0168
