qv,q2,ex,nu,RTTOT,RLTOT,RTQE,RLQE,RTIE,RLIE,RTE,RLE,RTNS,RLNS
0.24,0.05759,0.001,0.00358,1.72e-11,0.00494,0.0,0.0,0.0,0.0,0.0,0.0,1.72e-11,0.00494
0.24,0.05758,0.002,0.00458,1.16e-10,0.00807,0.0,0.0,0.0,0.0,0.0,0.0,1.16e-10,0.00807
0.24,0.05757,0.003,0.00558,8.56e-10,0.0113,0.0,0.0,0.0,0.0,0.0,0.0,8.56e-10,0.0113
0.24,0.05756,0.004,0.00658,5.99e-09,0.0137,0.0,0.0,0.0,0.0,0.0,0.0,5.99e-09,0.0137
0.24,0.05754,0.005,0.00758,3.74e-08,0.0146,0.0,0.0,0.0,0.0,0.0,0.0,3.74e-08,0.0146
0.24,0.05753,0.006,0.00858,2.03e-07,0.014,0.0,0.0,0.0,0.0,0.0,0.0,2.03e-07,0.014
0.24,0.05751,0.007,0.00958,9.48e-07,0.0126,0.0,0.0,0.0,0.0,0.0,0.0,9.48e-07,0.0126
0.24,0.05749,0.00801,0.01058,3.81e-06,0.0111,0.0,0.0,0.0,0.0,0.0,0.0,3.81e-06,0.0111
0.24,0.05747,0.00901,0.01158,1.31e-05,0.00976,0.0,0.0,0.0,0.0,0.0,0.0,1.31e-05,0.00976
0.24,0.05744,0.01001,0.01258,3.88e-05,0.00842,0.0,0.0,0.0,0.0,0.0,0.0,3.88e-05,0.00842
0.24,0.05742,0.01101,0.01358,9.86e-05,0.00699,0.0,0.0,0.0,0.0,0.0,0.0,9.86e-05,0.00699
0.24,0.05739,0.01201,0.01458,0.0013,0.0335,0.0,0.0,0.0,0.0,0.0,0.0,0.0013,0.0335
0.24,0.05736,0.01301,0.01558,0.00247,0.0267,0.0,0.0,0.0,0.0,0.0,0.0,0.00247,0.0267
0.24,0.05733,0.01401,0.01658,0.00412,0.0223,0.0,0.0,0.0,0.0,0.0,0.0,0.00412,0.0223
0.24,0.05729,0.01501,0.01758,0.0061,0.0201,0.0,0.0,0.0,0.0,0.0,0.0,0.0061,0.0201
0.24,0.05725,0.01602,0.01858,0.00812,0.0192,0.0,0.0,0.0,0.0,0.0,0.0,0.00812,0.0192
0.24,0.05722,0.01702,0.01958,0.0106,0.0197,0.000609,0.000953,0.0,0.0,0.000172,0.0,0.00984,0.0187
0.24,0.05718,0.01802,0.02058,0.0127,0.0206,0.00139,0.00218,0.0,0.0,0.000336,0.0,0.0109,0.0184
0.24,0.05713,0.01902,0.02158,0.0139,0.0218,0.00223,0.0035,0.0,0.0,0.00049,0.0,0.0112,0.0183
0.24,0.05709,0.02002,0.02258,0.0142,0.0235,0.00316,0.00496,0.0,0.0,0.00065,0.0,0.0104,0.0185
0.24,0.05704,0.02102,0.02358,0.0139,0.0255,0.00415,0.00653,0.0,0.0,0.000819,0.0,0.0089,0.019
0.24,0.057,0.02203,0.02458,0.0132,0.0278,0.00521,0.00821,0.0,0.0,0.000998,0.0,0.007,0.0196
0.24,0.05695,0.02303,0.02558,0.0127,0.0299,0.00632,0.00997,0.0,0.0,0.00119,0.0,0.00517,0.0199
0.24,0.05689,0.02403,0.02658,0.0126,0.0316,0.00748,0.0118,0.0,0.0,0.00138,0.0,0.00371,0.0198
0.24,0.05684,0.02503,0.02758,0.0129,0.0329,0.00866,0.0137,0.0,0.0,0.00158,0.0,0.00268,0.0192
0.24,0.05678,0.02604,0.02858,0.013,0.0329,0.00934,0.0148,0.0,0.0,0.0017,0.0,0.00196,0.0181
0.24,0.05673,0.02704,0.02958,0.0133,0.0326,0.01,0.0159,0.0,0.0,0.00181,0.0,0.00144,0.0168
